id,etf_code,date,start_price,last_price,weekly_return,monthly_return
119,364980,2025-04-25,7235,7410,2.42,-10.56
120,471230,2025-04-25,115540,115870,0.29,2.16
121,480260,2025-04-25,53060,53125,0.12,0.93
122,476450,2025-04-25,52185,52215,0.06,0.32
123,482730,2025-04-25,9670,10085,4.29,-6.65
124,475080,2025-04-25,8645,8855,2.43,0.98
125,491610,2025-04-25,101845,101905,0.06,0.26
126,481180,2025-04-25,11465,12465,8.72,-3.75
127,132030,2025-04-25,19950,20020,0.35,10.3
128,304660,2025-04-25,7550,7580,0.4,-1.75
129,446770,2025-04-25,21630,22925,5.99,-11.26
130,497570,2025-04-25,8355,9050,8.32,-10.17
131,479520,2025-04-25,103280,103325,0.04,0.25
132,365780,2025-04-25,92500,92785,0.31,2.19
133,261260,2025-04-25,5360,5270,-1.68,4.15
134,426030,2025-04-25,20360,22125,8.67,-7.66
135,461490,2025-04-25,12975,13145,1.31,-0.49
136,472160,2025-04-25,12035,12855,6.81,-5.3
137,490490,2025-04-25,10000,10075,0.75,-5.82
138,487340,2025-04-25,102915,102965,0.05,0.27
139,302190,2025-04-25,52930,53055,0.24,1.65
140,476800,2025-04-25,4675,4720,0.96,0.34
141,463290,2025-04-25,107115,107180,0.06,0.3
142,494670,2025-04-25,16845,18480,9.71,26.49
143,455850,2025-04-25,9900,10475,5.81,-7.79
144,473330,2025-04-25,9255,9365,1.19,-5.11
145,494300,2025-04-25,8715,8935,2.52,-9.87
146,251340,2025-04-25,3935,3870,-1.65,-2.52
147,448300,2025-04-25,14780,15560,5.28,-4.07
148,241180,2025-04-25,20825,21350,2.52,-2.53
149,452360,2025-04-25,10380,10405,0.24,-7.8
150,394660,2025-04-25,9215,9860,7.0,-11.77
151,143860,2025-04-25,37320,37445,0.33,0.15
152,367770,2025-04-25,10635,11000,3.43,1.66
153,494890,2025-04-25,9620,9895,2.86,-3.37
154,228790,2025-04-25,3060,3085,0.82,8.06
155,200250,2025-04-25,24955,25597,2.57,0.34
156,437080,2025-04-25,100370,101160,0.79,-0.36
157,488980,2025-04-25,51545,51575,0.06,0.7
158,091230,2025-04-25,30415,31820,4.62,-8.35
159,498410,2025-04-25,9520,9865,3.62,1.41
160,388420,2025-04-25,9250,9740,5.3,-6.39
161,245710,2025-04-25,20465,20635,0.83,-8.98
162,329650,2025-04-25,13410,13590,1.34,-0.69
163,273140,2025-04-25,113940,113995,0.05,0.27
164,461270,2025-04-25,11025,11025,0.0,0.36
165,361580,2025-04-25,18470,18955,2.63,-3.73
166,434060,2025-04-25,13590,14025,3.2,-3.28
167,395270,2025-04-25,9100,9485,4.23,-8.62
168,363570,2025-04-25,104415,104415,0.0,1.9
169,462330,2025-04-25,881,933,5.9,-23.08
170,458260,2025-04-25,47760,48225,0.97,-0.89
171,438100,2025-04-25,12965,13227,2.02,-3.03
172,473460,2025-04-25,14580,15765,8.13,-6.38
173,466950,2025-04-25,13945,14840,6.42,-8.68
174,472170,2025-04-25,11775,12145,3.14,-1.94
175,394670,2025-04-25,5500,5770,4.91,-11.84
176,295040,2025-04-25,12210,12515,2.5,-3.77
177,290130,2025-04-25,12050,12465,3.44,-5.1
178,409820,2025-04-25,8755,9650,10.22,-10.9
179,456880,2025-04-25,11855,11955,0.84,-2.13
180,0001S0,2025-04-25,50875,50930,0.11,0.61
181,192090,2025-04-25,9655,9855,2.07,-5.92
182,448600,2025-04-25,52655,52695,0.08,0.39
183,435420,2025-04-25,12510,12730,1.76,-0.9
184,277630,2025-04-25,26080,26735,2.51,-2.19
185,138520,2025-04-25,10525,10745,2.09,-3.76
186,458210,2025-04-25,106665,106720,0.05,0.25
187,483290,2025-04-25,9515,9595,0.84,-9.4
188,496020,2025-04-25,50970,51005,0.07,0.33
189,467940,2025-04-25,10830,10845,0.14,0.42
190,483230,2025-04-25,51510,51530,0.04,0.24
